,country_code,region_name,iata,icao,airport,latitude,longitude,FIPS
6656,US,Texas,WIB,,Wilbarger County Airport (FAA: F05),34.2257,-99.2838,48487
6657,US,California,HHR,KHHR,Hawthorne Municipal Airport (Jack Northrop Field),33.9228,-118.335,06037
6658,US,Texas,SJT,KSJT,San Angelo Regional Airport (Mathis Field),31.3577,-100.496,48451
6659,US,Hawaii,HHI,PHHI,Wheeler Army Airfield,21.4835,-158.04,15003
6660,US,South Carolina,HHH,KHXD,Hilton Head Airport,32.2244,-80.6975,45013
6661,US,Alaska,HGZ,,Hog River Airport,66.2161,-155.669,02290
6662,US,Washington,SKA,KSKA,Fairchild Air Force Base,47.6151,-117.656,53063
6663,US,Texas,SKF,KSKF,Kelly Field Annex / Lackland Air Force Base,29.3842,-98.5811,48029
6664,US,Maryland,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),39.7079,-77.7295,24043
6665,US,Alaska,SKK,PFSH,Shaktoolik Airport,64.3711,-161.224,02180
6666,US,North Carolina,HFF,KHFF,Mackall Army Airfield,35.0363,-79.4978,37153
6667,US,Connecticut,HFD,KHFD,Hartford-Brainard Airport,41.7367,-72.6494,09003
6668,US,Alaska,SKW,PASW,Skwentna Airport,61.9653,-151.191,02170
6669,US,Mississippi,HEZ,KHEZ,Natchez-Adams County Airport (Hardy-Anders Field),31.6137,-91.2973,28001
6670,US,Iowa,SLB,KSLB,Storm Lake Municipal Airport,42.5973,-95.2407,19021
6671,US,Utah,SLC,KSLC,Salt Lake City International Airport,40.7884,-111.978,49035
6672,US,Oregon,SLE,KSLE,McNary Field,44.9095,-123.003,41047
6673,US,Arkansas,SLG,KSLG,Smith Field,36.1919,-94.49,05007
6674,US,California,FOB,,Fort Bragg Airport,39.4743,-123.796,06045
6675,US,Oregon,HES,KHRI,Hermiston Municipal Airport,45.8282,-119.259,41059
6676,US,New York,SLK,KSLK,Adirondack Regional Airport,44.3853,-74.2062,36033
6677,US,Kansas,SLN,KSLN,Salina Regional Airport,38.791,-97.6522,20169
6678,US,Illinois,SLO,KSLO,Salem-Leckrone Airport,38.6429,-88.9642,17121
6679,US,Alaska,SLQ,PASL,Sleetmute Airport,61.7005,-157.166,02050
6680,US,Texas,SLR,KSLR,Sulphur Springs Municipal Airport,33.1598,-95.6211,48223
6681,US,Colorado,SLT,KANK,Harriet Alexander Field,38.5383,-106.049,08015
6682,US,Arkansas,HEE,KHEE,Thompson-Robbins Airport,34.5766,-90.6762,05107
6683,US,Alaska,HED,,Herendeen Bay Airport,55.8014,-160.899,
6684,US,Kentucky,SME,KSME,Lake Cumberland Regional Airport,37.0534,-84.6159,21199
6685,US,California,SMF,KSMF,Sacramento International Airport,38.6954,-121.591,06067
6686,US,Alaska,SMK,PAMK,St. Michael Airport,63.4901,-162.11,02180
6687,US,Colorado,HDN,KHDN,Yampa Valley Airport,40.4812,-107.218,08107
6688,US,Idaho,SMN,KSMN,Lemhi County Airport,45.1238,-113.881,16059
6689,US,California,SMO,KSMO,Santa Monica Municipal Airport,34.0158,-118.451,06037
6690,US,Hawaii,HDH,PHDH,Dillingham Airfield,21.5795,-158.197,15003
6691,US,Nebraska,HDE,KHDE,Brewster Field,40.4521,-99.3365,31137
6692,US,Alaska,SMU,PASP,Sheep Mountain Airport,61.812,-147.507,02170
6693,US,California,SMX,KSMX,Santa Maria Public Airport (Capt. G. Allan Hancock Field),34.8989,-120.457,06083
6694,US,California,SNA,KSNA,John Wayne Airport (Orange County Airport),33.6757,-117.868,06059
6695,US,South Carolina,HCW,KCQW,Cheraw Municipal Airport (Lynch Bellinger Field,34.7129,-79.957,45025
6696,US,Alaska,HCR,PAHC,Holy Cross Airport,62.1883,-159.775,02290
6697,US,New York,HCC,,Columbia County Airport,42.2913,-73.7103,36021
6698,US,Texas,HCA,KBPG,Big Spring McMahon-Wrinkle Airport,32.2126,-101.522,48227
6699,US,Texas,SNK,KSNK,Winston Field Airport,32.6934,-100.95,48415
6700,US,Oklahoma,SNL,KSNL,Shawnee Regional Airport,35.3579,-96.9428,40125
6701,US,Alaska,SNP,PASN,St. Paul Island Airport,57.1673,-170.22,02016
6702,US,Oklahoma,HBR,KHBR,Hobart Regional Airport,34.9913,-99.0513,40075
6703,US,California,SNS,KSNS,Salinas Municipal Airport,36.6628,-121.606,06053
6704,US,Arizona,HBK,,Holbrook Municipal Airport,34.9407,-110.138,04017
6705,US,Alaska,HBH,,Entrance Island Seaplane Base (Hobart Bay),57.4122,-133.438,02105
6706,US,Nebraska,SNY,KSNY,Sidney Municipal Airport (Lloyd W. Carr Field),41.1013,-102.985,31033
6707,US,Mississippi,HBG,KHBG,Hattiesburg Bobby L. Chain Municipal Airport,31.2648,-89.2528,28035
6708,US,New Mexico,HBB,,Hobbs Industrial Airpark,32.7668,-103.209,35025
6709,US,Pennsylvania,HAR,KCXY,Capital City Airport,40.2171,-76.8515,42133
6710,US,Alaska,SOL,,Solomon State Field Airport,64.5605,-164.446,02180
6711,US,North Carolina,SOP,KSOP,Moore County Airport,35.2374,-79.3912,37125
6712,US,Ohio,HAO,KHAO,Butler County Regional Airport,39.3638,-84.522,39017
6713,US,Alaska,SOV,PASO,Seldovia Airport,59.4424,-151.704,02122
6714,US,Arizona,SOW,KSOW,Show Low Regional Airport,34.2655,-110.006,04017
6715,US,Michigan,HAI,KHAI,Three Rivers Municipal Airport (Dr. Haines Flying Field),41.9598,-85.5934,26149
6716,US,California,HAF,KHAF,Half Moon Bay Airport,37.5134,-122.501,06081
6717,US,California,SPA,KSPA,Spartanburg Downtown Memorial Airport,34.9157,-81.9565,45083
6718,US,Alabama,HAB,KHAB,Marion County - Rankin Fite Airport,34.1176,-87.9982,01093
6719,US,South Dakota,SPF,KSPF,Black Hills Airport (Clyde Ice Field),44.4803,-103.783,46081
6720,US,Florida,SPG,KSPG,Albert Whitted Airport,27.7651,-82.627,
6721,US,Illinois,SPI,KSPI,Abraham Lincoln Capital Airport,39.8441,-89.6779,17167
6722,US,Arizona,GYR,KGYR,Phoenix Goodyear Airport,33.4225,-112.376,04013
6723,US,Texas,SPS,KSPS,Sheppard Air Force Base / Wichita Falls Municipal Airport,33.9888,-98.4919,48485
6724,US,Iowa,SPW,KSPW,Spencer Municipal Airport,43.1655,-95.2028,19041
6725,US,Arkansas,SPZ,KASG,Springdale Municipal Airport,36.1764,-94.1193,05143
6726,US,California,SQA,KIZA,Santa Ynez Airport,34.6068,-120.076,06083
6727,US,Colorado,GXY,KGXY,Greeley-Weld County Airport,40.4374,-104.633,08123
6728,US,West Virginia,GWV,,Glendale Fokker Field,39.9487,-80.7595,54051
6729,US,Colorado,GWS,KGWS,Glenwood Springs Municipal Airport,39.5083,-107.311,08045
6730,US,Illinois,SQI,KSQI,Whiteside County Airport (Jos. H. Bittorf Field),41.7428,-89.6763,17195
6731,US,Mississippi,GWO,KGWO,Greenwood-Leflore Airport,33.4943,-90.0847,28015
6732,US,California,SQL,KSQL,San Carlos Airport,37.5119,-122.25,06081
6733,US,Washington,SQV,,Sequim Valley Airport,48.0981,-123.187,53009
6734,US,Texas,GVT,KGVT,Majors Airport,33.0678,-96.0653,48231
6735,US,Georgia,GVL,KGVL,Lee Gilmer Memorial Airport,34.2726,-83.8302,13139
6736,US,Virginia,GVE,KGVE,Gordonsville Municipal Airport,38.156,-78.1658,51137
6737,US,Oklahoma,GUY,KGUY,Guymon Municipal Airport,36.6851,-101.508,40139
6738,US,Arkansas,SRC,KSRC,Searcy Municipal Airport,35.2106,-91.7375,05145
6739,US,California,SRF,,San Rafael Airport (Hamilton Field),38.06,-122.51,06041
6740,US,New Mexico,GUP,KGUP,Gallup Municipal Airport,35.5111,-108.789,35031
6741,US,Alabama,GUF,KJKA,Jack Edwards Airport,30.2905,-87.6718,01003
6742,US,Florida,SRQ,KSRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544,12081
6743,US,Colorado,GUC,KGUC,Gunnison-Crested Butte Regional Airport,38.5339,-106.933,08051
6744,US,Alaska,SRV,,Stony River Airport,61.7897,-156.589,02050
6745,US,North Carolina,SRW,KRUQ,Rowan County Airport,35.6459,-80.5203,37159
6746,US,Pennsylvania,GTY,,Gettysburg Regional Airport,39.8409,-77.2742,42001
6747,US,Mississippi,GTR,KGTR,Golden Triangle Regional Airport,33.4503,-88.5914,28087
6748,US,Oregon,GTP,,Grants Pass Airport,42.5101,-123.388,41033
6749,US,South Carolina,SSC,KSSC,Shaw Air Force Base,33.9727,-80.4706,45085
6750,US,Texas,SSF,KSSF,Stinson Municipal Airport,29.337,-98.4711,48029
6751,US,Wisconsin,GTG,KGTG,Grantsburg Municipal Airport,45.7981,-92.6644,55013
